"country","countrycode","year","month","cpi_sa","cpi_yoy_nsa","exchange_rate_neer","exchange_rate_reer","exchnage_rate_vs_usd","ind_prod_const","ind_prod_const_sa","time","usa_imp_sa","usa_ip_sa","chn_ip_sa","ln_ip","ln_usa_ip","ln_chn_ip","ln_usa_imports","ln_er_usd","cc"
"Thailand","THA",2004,5,83.10057907053,2.37954600714,88.9487202381,85.07461190476,40.54319047619,8437116581.91567,8530826480.35073,532,120671,259217350832.398,104792231737.361,22.8669520847705,26.280932739124,25.3752454814425,11.7008231130972,3.70236783738923,"THA"
"Malaysia","MYS",2004,6,85.32665274158,1.2989755247,94.7810240054,93.59643545455,3.8,7634545986.90863,7792623936.96413,533,124355,257091071107.856,104869934850.627,22.7764434741266,26.2726962213575,25.3759867035532,11.7308956575104,1.33500106673234,"MYS"
"Thailand","THA",2004,6,83.4542460816,3.02093105025,87.73781318182,84.01103636364,40.8025,8476711966.73499,8904145042.09794,533,124355,257091071107.856,104869934850.627,22.9097827403308,26.2726962213575,25.3759867035532,11.7308956575104,3.70874335404271,"THA"
"Philippines","PHL",2004,6,73.15120113048,5.38850559855,91.08674559361,76.06277818182,56.00522727273,6844661876.17571,6165936440.39072,533,124355,257091071107.856,104869934850.627,22.5423058582792,26.2726962213575,25.3759867035532,11.7308956575104,4.02544503053475,"PHL"
"Singapore","SGP",2004,6,89.16631842875,2.23869671117,88.48940999202,90.60540863636,1.71363636364,3839677535.42755,3662266080.0768,533,124355,257091071107.856,104869934850.627,22.0213479403289,26.2726962213575,25.3759867035532,11.7308956575104,0.538617641097771,"SGP"
"Philippines","PHL",2004,7,73.89700109907,6.46297523065,90.96339476454,76.90715590909,55.92795454545,6599709764.04263,6051501427.52808,534,122979,259063264796.966,107355048400.214,22.5235722480395,26.2803381344433,25.3994073876476,11.7197688880709,4.02406433647602,"PHL"
"Thailand","THA",2004,7,83.57477671348,3.12278219383,87.12917022727,83.45153272727,40.93363636364,8368924530.28241,9179745762.46946,534,122979,259063264796.966,107355048400.214,22.9402653464752,26.2803381344433,25.3994073876476,11.7197688880709,3.71195213003805,"THA"
"Malaysia","MYS",2004,7,85.48743721355,1.3687799019,94.48572357444,93.33512727273,3.8,7897806193.35375,7715617658.91577,534,122979,259063264796.966,107355048400.214,22.7665123790405,26.2803381344433,25.3994073876476,11.7197688880709,1.33500106673234,"MYS"
"Singapore","SGP",2004,7,89.39847703951,1.86899817465,88.17432562046,90.81161931818,1.71190909091,3664245332.64318,3611439317.39311,534,122979,259063264796.966,107355048400.214,22.0073722327093,26.2803381344433,25.3994073876476,11.7197688880709,0.537609175205665,"SGP"
"Thailand","THA",2004,8,83.7091144874,2.97562235062,86.33442363636,82.80971590909,41.49940909091,8397521197.09636,8828944852.37958,535,124224,259259032046.171,109206128048.939,22.9013013486553,26.2810935225858,25.416503016347,11.7298416665287,3.72567918836203,"THA"
